Age Group (copy),Age Group,label position,Female,Age group label,age,Calculation1,Female  ,Male,Number of Records,Year,label
0 to 4,0 to 4,,204K,0 to 4,Age,0,204K,204K,1,1861,
5 to 9,5 to 9,,172K,,Age,5,172K,170K,1,1861,
10 to 14,10 to 14,,152K,10 to 14,Age,10,152K,150K,1,1861,
15 to 19,15 to 19,,155K,,Age,15,155K,135K,1,1861,
20 to 24,20 to 24,,172K,20 to 24,Age,20,172K,136K,1,1861,
25 to 29,25 to 29,,156K,,Age,25,156K,124K,1,1861,
30 to 34,30 to 34,,136K,30 to 34,Age,30,136K,114K,1,1861,
35 to 39,35 to 39,,114K,,Age,35,114K,99K,1,1861,
40 to 44,40 to 44,,105K,40 to 44,Age,40,105K,92K,1,1861,
45 to 49,45 to 49,,80K,,Age,45,80K,71K,1,1861,
50 to 54,50 to 54,,69K,50 to 54,Age,50,69K,58K,1,1861,
55 to 59,55 to 59,,49K,,Age,55,49K,40K,1,1861,
60 to 64,60 to 64,,46K,60 to 64,Age,60,46K,35K,1,1861,
65 to 69,65 to 69,,29K,,Age,65,29K,21K,1,1861,
70 to 74,70 to 74,,22K,70 to 74,Age,70,22K,15K,1,1861,
75 to 79,75 to 79,-510000,12K,,Age,75,12K,7K,1,1861,
80 to 84,80 to 84,,6K,80 to 84,Age,80,6K,3K,1,1861,
85 and up,85 and up,,3K,,Age,85,3K,1K,1,1861,
0 to 4,0 to 4,,311K,0 to 4,,0,311K,311K,1,1881,
5 to 9,5 to 9,,268K,,,5,268K,264K,1,1881,
10 to 14,10 to 14,,236K,10 to 14,,10,236K,229K,1,1881,
15 to 19,15 to 19,,243K,,,15,243K,211K,1,1881,
20 to 24,20 to 24,,255K,20 to 24,,20,255K,212K,1,1881,
25 to 29,25 to 29,,228K,,,25,228K,193K,1,1881,
30 to 34,30 to 34,,191K,30 to 34,,30,191K,166K,1,1881,
35 to 39,35 to 39,,162K,,,35,162K,145K,1,1881,
40 to 44,40 to 44,,142K,40 to 44,,40,142K,127K,1,1881,
45 to 49,45 to 49,,113K,,,45,113K,98K,1,1881,
50 to 54,50 to 54,,98K,50 to 54,,50,98K,83K,1,1881,
55 to 59,55 to 59,,72K,,,55,72K,58K,1,1881,
60 to 64,60 to 64,,68K,60 to 64,,60,68K,54K,1,1881,
65 to 69,65 to 69,,45K,,,65,45K,32K,1,1881,
70 to 74,70 to 74,,32K,70 to 74,,70,32K,21K,1,1881,
75 to 79,75 to 79,-510000,18K,,,75,18K,11K,1,1881,
80 to 84,80 to 84,,9K,80 to 84,,80,9K,5K,1,1881,
85 and up,85 and up,,4K,,,85,4K,2K,1,1881,
0 to 4,0 to 4,,340K,0 to 4,,0,340K,336K,1,1891,
5 to 9,5 to 9,,313K,,,5,313K,311K,1,1891,
10 to 14,10 to 14,,288K,10 to 14,,10,288K,282K,1,1891,
15 to 19,15 to 19,,291K,,,15,291K,258K,1,1891,
